"smallest-text-minus href","listing-image src","listing-text-new","listing-text-new 2","fade-out-content-wrapper","fade-out-content-wrapper 2","fade-out-content-wrapper 3","fade-out-content-wrapper href 4","db","fade-out-content-wrapper 4","fade-out-content-wrapper 5","fade-out-content-wrapper 6"
"https://www.arabam.com/ilan/galeriden-satilik-bmw-3-serisi-330d-standart/galeriden-bmw-3-serisi-320-d-isik-paket-2007-model-adana/24517995","https://arbstorage.mncdn.com/ilanfotograflari/2024/02/14/24517995/3b61224f-dbc9-4c9e-8129-fdfe6e639fda_image_for_silan_24517995_240x180.jpg","BMW 3 Serisi 330d Standart","Galeriden BMW 3 Serisi 320 d ışık paket 2007 Model Adana","2007","349.000","Siyah","https://www.arabam.com/ilan/galeriden-satilik-bmw-3-serisi-330d-standart/galeriden-bmw-3-serisi-320-d-isik-paket-2007-model-adana/24517995","750.000 TL","27 Temmuz 2024","Adana","Sarıçam"
"https://www.arabam.com/ilan/galeriden-satilik-bmw-3-serisi-316i-modern-line/galeriden-bmw-3-serisi-316i-modern-line-2012-model-nevsehir/25514029","https://arbstorage.mncdn.com/ilanfotograflari/2024/05/26/25514029/deb098c3-634a-4e06-9d55-63bd6584a694_image_for_silan_25514029_240x180.jpg","BMW 3 Serisi 316i Modern Line","Galeriden BMW 3 Serisi 316i Modern Line 2012 Model Nevşehir","2012","83.500","Beyaz","https://www.arabam.com/ilan/galeriden-satilik-bmw-3-serisi-316i-modern-line/galeriden-bmw-3-serisi-316i-modern-line-2012-model-nevsehir/25514029","1.120.000 TL","26 Temmuz 2024","Nevşehir","Gülşehir"
"https://www.arabam.com/ilan/galeriden-satilik-bmw-3-serisi-316i-advantage/galeriden-bmw-3-serisi-316i-advantage-2011-model-isparta/25978210","https://arbstorage.mncdn.com/ilanfotograflari/2024/07/24/25978210/2315ca9e-1cc4-4e1b-8a1c-573848235e1e_image_for_silan_25978210_240x180.jpg","BMW 3 Serisi 316i Advantage","Galeriden BMW 3 Serisi 316i Advantage 2011 Model Isparta","2011","146.000","Beyaz","https://www.arabam.com/ilan/galeriden-satilik-bmw-3-serisi-316i-advantage/galeriden-bmw-3-serisi-316i-advantage-2011-model-isparta/25978210","812.000 TL","24 Temmuz 2024","Isparta","Merkez"
"https://www.arabam.com/ilan/galeriden-satilik-bmw-3-serisi-320i-coupe/galeriden-bmw-3-serisi-320i-coupe-2010-model-konya/25977733","https://arbstorage.mncdn.com/ilanfotograflari/2024/07/24/25977733/ebc50cfd-3a1d-4d99-8764-51c7730cab19_image_for_silan_25977733_240x180.jpg","BMW 3 Serisi 320i Coupe","Galeriden BMW 3 Serisi 320i Coupe 2010 Model Konya","2010","153.000","Beyaz","https://www.arabam.com/ilan/galeriden-satilik-bmw-3-serisi-320i-coupe/galeriden-bmw-3-serisi-320i-coupe-2010-model-konya/25977733","1.185.000 TL","24 Temmuz 2024","Konya","Akşehir"
"https://www.arabam.com/ilan/galeriden-satilik-bmw-3-serisi-320i-ed-luxury-line-plus/2014-model-320ied-luxury-line-plus-170-hp-130-000-km/23073032","https://arbstorage.mncdn.com/ilanfotograflari/2023/07/19/23073032/236a66ea-e202-4ace-8c47-cf453a7b7889_image_for_silan_23073032_240x180.jpg","BMW 3 Serisi 320i ED Luxury Line Plus","2014 MODEL 320İED LUXURY LINE PLUS 170 HP 130.000 KM","2014","130.000","Füme","https://www.arabam.com/ilan/galeriden-satilik-bmw-3-serisi-320i-ed-luxury-line-plus/2014-model-320ied-luxury-line-plus-170-hp-130-000-km/23073032","1.195.000 TL","23 Temmuz 2024","Hatay","İskenderun"
"https://www.arabam.com/ilan/galeriden-satilik-bmw-3-serisi-320i/galeriden-bmw-3-serisi-320i-2006-model-istanbul/25474752","https://arbstorage.mncdn.com/ilanfotograflari/2024/05/22/25474752/0bd7b56e-e9e5-4736-8830-caf38e70f3e5_image_for_silan_25474752_240x180.jpg","BMW 3 Serisi 320i","Galeriden BMW 3 Serisi 320i 2006 Model İstanbul","2006","224.500","Gri (titanyum)","https://www.arabam.com/ilan/galeriden-satilik-bmw-3-serisi-320i/galeriden-bmw-3-serisi-320i-2006-model-istanbul/25474752","685.000 TL","23 Temmuz 2024","İstanbul","Üsküdar"
"https://www.arabam.com/ilan/galeriden-satilik-bmw-3-serisi-320i-ed-sport-line/galeriden-bmw-3-serisi-320i-ed-sport-line-2015-model-ankara/25840442","https://arbstorage.mncdn.com/ilanfotograflari/2024/07/08/25840442/3e9d2466-ccd1-48fb-b1b4-be68892e0b38_image_for_silan_25840442_240x180.jpg","BMW 3 Serisi 320i ED Sport Line","Galeriden BMW 3 Serisi 320i ED Sport Line 2015 Model Ankara","2015","158.000","Beyaz","https://www.arabam.com/ilan/galeriden-satilik-bmw-3-serisi-320i-ed-sport-line/galeriden-bmw-3-serisi-320i-ed-sport-line-2015-model-ankara/25840442","1.245.000 TL","22 Temmuz 2024","Ankara","Yenimahalle"
"https://www.arabam.com/ilan/galeriden-satilik-bmw-3-serisi-320i-ed-sport-line/galeriden-bmw-3-serisi-320i-ed-sport-line-2014-model-izmir/24123975","https://arbstorage.mncdn.com/ilanfotograflari/2024/01/03/24123975/200599a3-4c82-48af-8142-273062ed6aef_image_for_silan_24123975_240x180.jpg","BMW 3 Serisi 320i ED Sport Line","Galeriden BMW 3 Serisi 320i ED Sport Line 2014 Model İzmir","2014","183.000","Beyaz","https://www.arabam.com/ilan/galeriden-satilik-bmw-3-serisi-320i-ed-sport-line/galeriden-bmw-3-serisi-320i-ed-sport-line-2014-model-izmir/24123975","1.250.000 TL","21 Temmuz 2024","İzmir","Tire"
"https://www.arabam.com/ilan/galeriden-satilik-bmw-3-serisi-318i-standart/yaza-hizli-girmek-isteye-yapili-dolu-dolu-kurulu-duzen/25401560","https://arbstorage.mncdn.com/ilanfotograflari/2024/05/15/25401560/c8a19c43-ec89-4f4e-bf84-4bbdf7a2aafd_image_for_silan_25401560_240x180.jpg","BMW 3 Serisi 318i Standart","Yaza Hızlı Girmek İsteye Yapılı dolu dolu kurulu düzen","1993","291.000","Kırmızı","https://www.arabam.com/ilan/galeriden-satilik-bmw-3-serisi-318i-standart/yaza-hizli-girmek-isteye-yapili-dolu-dolu-kurulu-duzen/25401560","265.000 TL","21 Temmuz 2024","Kırıkkale","Merkez"
"https://www.arabam.com/ilan/galeriden-satilik-bmw-3-serisi-316i-comfort/trnin-en-uygunu-2015133-bin-kmde-bmw-3-16i/25943816","https://arbstorage.mncdn.com/ilanfotograflari/2024/07/20/25943816/65b356b1-7837-4d7b-b321-625ff54adc87_image_for_silan_25943816_240x180.jpg","BMW 3 Serisi 316i Comfort","TR’nin En Uygunu 2015
133 bin km’de BMW 3.16i","2015","133.000","Beyaz","https://www.arabam.com/ilan/galeriden-satilik-bmw-3-serisi-316i-comfort/trnin-en-uygunu-2015133-bin-kmde-bmw-3-16i/25943816","985.000 TL","20 Temmuz 2024","İzmir","Tire"
